#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   123    0.33920E+04   -0.36267E+02   -0.26056E-04   -0.36267E+02    0.99058E+00   -0.67633E-06   -0.26056E-04   -0.67633E-06    0.92522E-07
   124    0.34255E+04   -0.36771E+02   -0.23378E-04   -0.36771E+02    0.99777E+00   -0.69942E-06   -0.23378E-04   -0.69942E-06    0.91864E-07
   125    0.34590E+04   -0.37263E+02   -0.20735E-04   -0.37263E+02    0.10045E+01   -0.72233E-06   -0.20735E-04   -0.72233E-06    0.91212E-07
   126    0.34926E+04   -0.37744E+02   -0.18128E-04   -0.37744E+02    0.10109E+01   -0.74461E-06   -0.18128E-04   -0.74461E-06    0.90566E-07
   127    0.35262E+04   -0.38212E+02   -0.15559E-04   -0.38212E+02    0.10168E+01   -0.76578E-06   -0.15559E-04   -0.76578E-06    0.89927E-07
   128    0.35597E+04   -0.38666E+02   -0.13027E-04   -0.38666E+02    0.10224E+01   -0.78539E-06   -0.13027E-04   -0.78539E-06    0.89294E-07
   129    0.35934E+04   -0.39106E+02   -0.10535E-04   -0.39106E+02    0.10274E+01   -0.80299E-06   -0.10535E-04   -0.80299E-06    0.88667E-07
   130    0.36270E+04   -0.39530E+02   -0.80830E-05   -0.39530E+02    0.10319E+01   -0.81812E-06   -0.80830E-05   -0.81812E-06    0.88047E-07
   131    0.36606E+04   -0.39942E+02   -0.56725E-05   -0.39942E+02    0.10361E+01   -0.83042E-06   -0.56725E-05   -0.83042E-06    0.87433E-07
   132    0.36943E+04   -0.40336E+02   -0.33043E-05   -0.40336E+02    0.10398E+01   -0.83997E-06   -0.33043E-05   -0.83997E-06    0.86825E-07
   133    0.37278E+04   -0.40717E+02   -0.97932E-06   -0.40717E+02    0.10430E+01   -0.84697E-06   -0.97932E-06   -0.84697E-06    0.86224E-07
   134    0.37614E+04   -0.41079E+02    0.13016E-05   -0.41079E+02    0.10458E+01   -0.85159E-06    0.13016E-05   -0.85159E-06    0.85628E-07
   135    0.37949E+04   -0.41425E+02    0.35374E-05   -0.41425E+02    0.10481E+01   -0.85403E-06    0.35374E-05   -0.85403E-06    0.85039E-07
   136    0.38283E+04   -0.41751E+02    0.57275E-05   -0.41751E+02    0.10500E+01   -0.85447E-06    0.57275E-05   -0.85447E-06    0.84455E-07
   137    0.38617E+04   -0.42061E+02    0.78707E-05   -0.42061E+02    0.10513E+01   -0.85310E-06    0.78707E-05   -0.85310E-06    0.83878E-07
   138    0.38950E+04   -0.42352E+02    0.99663E-05   -0.42352E+02    0.10522E+01   -0.85011E-06    0.99663E-05   -0.85011E-06    0.83306E-07
