#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.116822E+00   0.229000E+07   0.227893E+07   0.114332E+02   0.114332E+02   0.206640E+06   0.227884E+07   0.228825E+07   0.227884E+07  -0.538170E-01   0.145496E+07   0.145484E+07   0.361838E+00
   0.122171E+00   0.219778E+07   0.218866E+07   0.100341E+02   0.100341E+02   0.187082E+06   0.218725E+07   0.219634E+07   0.218725E+07  -0.516541E-01   0.139650E+07   0.139639E+07   0.295445E+00
   0.127520E+00   0.210705E+07   0.209933E+07   0.883049E+01   0.883049E+01   0.169478E+06   0.209707E+07   0.210583E+07   0.209707E+07  -0.495245E-01   0.133894E+07   0.133884E+07   0.249540E+00
   0.132869E+00   0.201201E+07   0.200499E+07   0.776716E+01   0.776716E+01   0.153177E+06   0.200250E+07   0.201090E+07   0.200250E+07  -0.472909E-01   0.127856E+07   0.127848E+07   0.223635E+00
   0.138217E+00   0.191145E+07   0.190450E+07   0.681876E+01   0.681876E+01   0.137968E+06   0.190233E+07   0.191035E+07   0.190233E+07  -0.449255E-01   0.121462E+07   0.121454E+07   0.213247E+00
   0.143566E+00   0.180775E+07   0.180042E+07   0.597686E+01   0.597686E+01   0.123915E+06   0.179898E+07   0.180659E+07   0.179898E+07  -0.424847E-01   0.114864E+07   0.114855E+07   0.211782E+00
   0.148915E+00   0.170525E+07   0.169739E+07   0.523979E+01   0.523979E+01   0.111180E+06   0.169681E+07   0.170401E+07   0.169681E+07  -0.400718E-01   0.108342E+07   0.108332E+07   0.212541E+00
   0.154263E+00   0.160913E+07   0.160083E+07   0.460710E+01   0.460710E+01   0.999216E+05   0.160100E+07   0.160782E+07   0.160100E+07  -0.378091E-01   0.102225E+07   0.102215E+07   0.210340E+00
   0.159612E+00   0.152416E+07   0.151572E+07   0.407601E+01   0.407601E+01   0.902392E+05   0.151634E+07   0.152282E+07   0.151634E+07  -0.358100E-01   0.968206E+06   0.968110E+06   0.202396E+00
   0.164961E+00   0.145303E+07   0.144481E+07   0.363783E+01   0.363783E+01   0.821117E+05   0.144554E+07   0.145173E+07   0.144554E+07  -0.341378E-01   0.923002E+06   0.922909E+06   0.188400E+00
   0.170310E+00   0.139515E+07   0.138748E+07   0.327705E+01   0.327705E+01   0.753384E+05   0.138797E+07   0.139394E+07   0.138797E+07  -0.327784E-01   0.886251E+06   0.886164E+06   0.169970E+00
   0.175658E+00   0.134739E+07   0.134048E+07   0.297523E+01   0.297523E+01   0.696022E+05   0.134052E+07   0.134630E+07   0.134052E+07  -0.316577E-01   0.855954E+06   0.855876E+06   0.149792E+00
   0.181007E+00   0.130587E+07   0.129977E+07   0.271585E+01   0.271585E+01   0.645946E+05   0.129930E+07   0.130491E+07   0.129930E+07  -0.306842E-01   0.829635E+06   0.829564E+06   0.130706E+00
   0.186356E+00   0.126697E+07   0.126158E+07   0.248604E+01   0.248604E+01   0.600670E+05   0.126067E+07   0.126612E+07   0.126067E+07  -0.297719E-01   0.804973E+06   0.804908E+06   0.114931E+00
   0.191704E+00   0.122759E+07   0.122270E+07   0.227632E+01   0.227632E+01   0.558299E+05   0.122152E+07   0.122682E+07   0.122152E+07  -0.288475E-01   0.779982E+06   0.779922E+06   0.103603E+00
   0.197053E+00   0.118572E+07   0.118108E+07   0.208096E+01   0.208096E+01   0.517748E+05   0.117986E+07   0.118498E+07   0.117986E+07  -0.278635E-01   0.753380E+06   0.753323E+06   0.966922E-01
   0.202402E+00   0.114114E+07   0.113654E+07   0.189824E+01   0.189824E+01   0.478874E+05   0.113547E+07   0.114042E+07   0.113547E+07  -0.268153E-01   0.725042E+06   0.724986E+06   0.932514E-01
   0.207750E+00   0.109526E+07   0.109055E+07   0.172923E+01   0.172923E+01   0.442101E+05   0.108976E+07   0.109451E+07   0.108976E+07  -0.257358E-01   0.695857E+06   0.695800E+06   0.918242E-01
   0.213099E+00   0.105010E+07   0.104523E+07   0.157567E+01   0.157567E+01   0.408037E+05   0.104477E+07   0.104933E+07   0.104477E+07  -0.246732E-01   0.667129E+06   0.667071E+06   0.908878E-01
   0.218448E+00   0.100757E+07   0.100259E+07   0.143866E+01   0.143866E+01   0.377217E+05   0.100240E+07   0.100679E+07   0.100240E+07  -0.236728E-01   0.640080E+06   0.640021E+06   0.892239E-01
   0.223797E+00   0.969136E+06   0.964149E+06   0.131838E+01   0.131838E+01   0.349886E+05   0.964126E+06   0.968348E+06   0.964126E+06  -0.227688E-01   0.615641E+06   0.615583E+06   0.861489E-01
   0.229145E+00   0.935539E+06   0.930672E+06   0.121395E+01   0.121395E+01   0.325930E+05   0.930690E+06   0.934770E+06   0.930690E+06  -0.219792E-01   0.594292E+06   0.594235E+06   0.815639E-01
   0.234494E+00   0.906640E+06   0.902007E+06   0.112341E+01   0.112341E+01   0.304949E+05   0.901948E+06   0.905908E+06   0.901948E+06  -0.213004E-01   0.575940E+06   0.575887E+06   0.758501E-01
   0.239843E+00   0.881523E+06   0.877197E+06   0.104414E+01   0.104414E+01   0.286367E+05   0.876984E+06   0.880839E+06   0.876984E+06  -0.207109E-01   0.560001E+06   0.559951E+06   0.696684E-01
   0.245191E+00   0.858858E+06   0.854856E+06   0.973437E+00   0.973437E+00   0.269572E+05   0.854466E+06   0.858226E+06   0.854466E+06  -0.201791E-01   0.545623E+06   0.545576E+06   0.637333E-01
   0.250540E+00   0.837242E+06   0.833528E+06   0.908884E+00   0.908884E+00   0.254054E+05   0.832986E+06   0.836655E+06   0.832986E+06  -0.196718E-01   0.531908E+06   0.531864E+06   0.586200E-01
   0.255889E+00   0.815495E+06   0.811998E+06   0.848674E+00   0.848674E+00   0.239427E+05   0.811365E+06   0.814943E+06   0.811365E+06  -0.191612E-01   0.518103E+06   0.518061E+06   0.546447E-01
   0.261238E+00   0.792969E+06   0.789602E+06   0.791790E+00   0.791790E+00   0.225425E+05   0.788955E+06   0.792437E+06   0.788955E+06  -0.186320E-01   0.503793E+06   0.503753E+06   0.518361E-01
   0.266586E+00   0.769671E+06   0.766358E+06   0.737991E+00   0.737991E+00   0.211984E+05   0.765764E+06   0.769147E+06   0.765764E+06  -0.180843E-01   0.488986E+06   0.488946E+06   0.499823E-01
