#    L    TT             EE             TE             PP             TP          
   194    0.53769E+04    0.65124E+00   -0.20919E+02    0.27156E+07    0.97683E+03
   195    0.53920E+04    0.64671E+00   -0.19815E+02    0.27004E+07    0.97933E+03
   196    0.54065E+04    0.64281E+00   -0.18688E+02    0.26854E+07    0.98168E+03
   197    0.54206E+04    0.63960E+00   -0.17539E+02    0.26704E+07    0.98389E+03
   198    0.54342E+04    0.63708E+00   -0.16368E+02    0.26556E+07    0.98595E+03
   199    0.54472E+04    0.63530E+00   -0.15174E+02    0.26409E+07    0.98790E+03
   200    0.54597E+04    0.63428E+00   -0.13960E+02    0.26263E+07    0.98972E+03
   201    0.54717E+04    0.63409E+00   -0.12724E+02    0.26118E+07    0.99144E+03
   202    0.54831E+04    0.63473E+00   -0.11467E+02    0.25975E+07    0.99306E+03
   203    0.54939E+04    0.63626E+00   -0.10190E+02    0.25832E+07    0.99458E+03
   204    0.55041E+04    0.63870E+00   -0.88937E+01    0.25691E+07    0.99601E+03
   205    0.55138E+04    0.64210E+00   -0.75774E+01    0.25551E+07    0.99736E+03
   206    0.55228E+04    0.64648E+00   -0.62420E+01    0.25412E+07    0.99863E+03
   207    0.55313E+04    0.65188E+00   -0.48879E+01    0.25275E+07    0.99983E+03
   208    0.55390E+04    0.65834E+00   -0.35156E+01    0.25138E+07    0.10010E+04
   209    0.55462E+04    0.66589E+00   -0.21254E+01    0.25003E+07    0.10020E+04
   210    0.55528E+04    0.67457E+00   -0.71826E+00    0.24868E+07    0.10031E+04
   211    0.55588E+04    0.68442E+00    0.70579E+00    0.24735E+07    0.10040E+04
   212    0.55641E+04    0.69546E+00    0.21458E+01    0.24603E+07    0.10050E+04
   213    0.55688E+04    0.70774E+00    0.36019E+01    0.24472E+07    0.10059E+04
   214    0.55729E+04    0.72124E+00    0.50729E+01    0.24342E+07    0.10067E+04
   215    0.55764E+04    0.73617E+00    0.65580E+01    0.24213E+07    0.10076E+04
   216    0.55792E+04    0.75233E+00    0.80577E+01    0.24085E+07    0.10084E+04
   217    0.55815E+04    0.76989E+00    0.95701E+01    0.23958E+07    0.10092E+04
   218    0.55832E+04    0.78883E+00    0.11095E+02    0.23832E+07    0.10100E+04
   219    0.55843E+04    0.80916E+00    0.12635E+02    0.23707E+07    0.10109E+04
   220    0.55847E+04    0.83102E+00    0.14183E+02    0.23583E+07    0.10117E+04
   221    0.55846E+04    0.85435E+00    0.15743E+02    0.23460E+07    0.10125E+04
   222    0.55839E+04    0.87928E+00    0.17314E+02    0.23338E+07    0.10133E+04
   223    0.55825E+04    0.90575E+00    0.18895E+02    0.23218E+07    0.10142E+04
   224    0.55806E+04    0.93375E+00    0.20484E+02    0.23098E+07    0.10151E+04
   225    0.55781E+04    0.96343E+00    0.22083E+02    0.22979E+07    0.10161E+04
   226    0.55750E+04    0.99479E+00    0.23688E+02    0.22861E+07    0.10170E+04
   227    0.55712E+04    0.10278E+01    0.25302E+02    0.22744E+07    0.10181E+04
   228    0.55669E+04    0.10625E+01    0.26922E+02    0.22628E+07    0.10191E+04
   229    0.55620E+04    0.10990E+01    0.28547E+02    0.22512E+07    0.10203E+04
   230    0.55564E+04    0.11372E+01    0.30177E+02    0.22398E+07    0.10215E+04
   231    0.55502E+04    0.11773E+01    0.31813E+02    0.22285E+07    0.10228E+04
   232    0.55434E+04    0.12191E+01    0.33453E+02    0.22172E+07    0.10241E+04
   233    0.55361E+04    0.12628E+01    0.35095E+02    0.22061E+07    0.10256E+04
   234    0.55280E+04    0.13084E+01    0.36739E+02    0.21950E+07    0.10271E+04
   235    0.55194E+04    0.13559E+01    0.38386E+02    0.21840E+07    0.10287E+04
   236    0.55101E+04    0.14052E+01    0.40033E+02    0.21731E+07    0.10305E+04
   237    0.55003E+04    0.14566E+01    0.41681E+02    0.21623E+07    0.10323E+04
   238    0.54898E+04    0.15099E+01    0.43328E+02    0.21516E+07    0.10342E+04
   239    0.54789E+04    0.15652E+01    0.44975E+02    0.21410E+07    0.10363E+04
   240    0.54672E+04    0.16224E+01    0.46618E+02    0.21304E+07    0.10385E+04
   241    0.54550E+04    0.16818E+01    0.48260E+02    0.21199E+07    0.10408E+04
   242    0.54423E+04    0.17431E+01    0.49899E+02    0.21095E+07    0.10433E+04
   243    0.54290E+04    0.18065E+01    0.51533E+02    0.20992E+07    0.10459E+04
   244    0.54150E+04    0.18719E+01    0.53163E+02    0.20890E+07    0.10487E+04
   245    0.54005E+04    0.19395E+01    0.54787E+02    0.20788E+07    0.10516E+04
   246    0.53855E+04    0.20091E+01    0.56406E+02    0.20687E+07    0.10547E+04
   247    0.53699E+04    0.20808E+01    0.58017E+02    0.20587E+07    0.10579E+04
   248    0.53538E+04    0.21549E+01    0.59621E+02    0.20488E+07    0.10613E+04
   249    0.53372E+04    0.22309E+01    0.61217E+02    0.20389E+07    0.10649E+04
   250    0.53200E+04    0.23092E+01    0.62804E+02    0.20291E+07    0.10687E+04
   251    0.53024E+04    0.23896E+01    0.64381E+02    0.20194E+07    0.10727E+04
   252    0.52841E+04    0.24721E+01    0.65949E+02    0.20098E+07    0.10768E+04
   253    0.52655E+04    0.25568E+01    0.67504E+02    0.20002E+07    0.10811E+04
   254    0.52463E+04    0.26437E+01    0.69048E+02    0.19907E+07    0.10856E+04
   255    0.52266E+04    0.27327E+01    0.70580E+02    0.19813E+07    0.10902E+04
   256    0.52064E+04    0.28241E+01    0.72101E+02    0.19719E+07    0.10950E+04
   257    0.51858E+04    0.29174E+01    0.73602E+02    0.19626E+07    0.10999E+04
   258    0.51647E+04    0.30131E+01    0.75095E+02    0.19534E+07    0.11048E+04
   259    0.51431E+04    0.31109E+01    0.76566E+02    0.19443E+07    0.11099E+04
   260    0.51212E+04    0.32110E+01    0.78031E+02    0.19352E+07    0.11151E+04
   261    0.50987E+04    0.33131E+01    0.79465E+02    0.19262E+07    0.11204E+04
   262    0.50757E+04    0.34176E+01    0.80893E+02    0.19172E+07    0.11257E+04
   263    0.50526E+04    0.35242E+01    0.82306E+02    0.19083E+07    0.11311E+04
   264    0.50289E+04    0.36330E+01    0.83697E+02    0.18995E+07    0.11365E+04
   265    0.50046E+04    0.37439E+01    0.85058E+02    0.18907E+07    0.11420E+04
   266    0.49801E+04    0.38571E+01    0.86412E+02    0.18820E+07    0.11474E+04
   267    0.49550E+04    0.39723E+01    0.87737E+02    0.18734E+07    0.11529E+04
   268    0.49296E+04    0.40898E+01    0.89048E+02    0.18648E+07    0.11584E+04
   269    0.49037E+04    0.42094E+01    0.90336E+02    0.18563E+07    0.11639E+04
   270    0.48775E+04    0.43311E+01    0.91603E+02    0.18479E+07    0.11693E+04
   271    0.48509E+04    0.44548E+01    0.92847E+02    0.18395E+07    0.11747E+04
