#    L    TT             EE             TE             PP             TP          
   203    0.56241E+04    0.66422E+00   -0.11168E+02    0.32692E+07   -0.15039E+04
   204    0.56348E+04    0.66632E+00   -0.98367E+01    0.32515E+07   -0.14724E+04
   205    0.56449E+04    0.66939E+00   -0.84846E+01    0.32338E+07   -0.14413E+04
   206    0.56544E+04    0.67348E+00   -0.71125E+01    0.32163E+07   -0.14106E+04
   207    0.56633E+04    0.67861E+00   -0.57210E+01    0.31989E+07   -0.13803E+04
   208    0.56715E+04    0.68484E+00   -0.43106E+01    0.31817E+07   -0.13503E+04
   209    0.56791E+04    0.69219E+00   -0.28816E+01    0.31646E+07   -0.13207E+04
   210    0.56861E+04    0.70070E+00   -0.14350E+01    0.31477E+07   -0.12915E+04
   211    0.56925E+04    0.71042E+00    0.29129E-01    0.31309E+07   -0.12626E+04
   212    0.56982E+04    0.72136E+00    0.15099E+01    0.31142E+07   -0.12342E+04
   213    0.57033E+04    0.73358E+00    0.30073E+01    0.30977E+07   -0.12061E+04
   214    0.57077E+04    0.74707E+00    0.45202E+01    0.30813E+07   -0.11784E+04
   215    0.57115E+04    0.76202E+00    0.60477E+01    0.30651E+07   -0.11511E+04
   216    0.57147E+04    0.77825E+00    0.75904E+01    0.30490E+07   -0.11242E+04
   217    0.57173E+04    0.79591E+00    0.91463E+01    0.30330E+07   -0.10976E+04
   218    0.57192E+04    0.81500E+00    0.10716E+02    0.30171E+07   -0.10714E+04
   219    0.57205E+04    0.83552E+00    0.12299E+02    0.30014E+07   -0.10456E+04
   220    0.57213E+04    0.85763E+00    0.13893E+02    0.29858E+07   -0.10202E+04
   221    0.57214E+04    0.88125E+00    0.15498E+02    0.29703E+07   -0.99519E+03
   222    0.57209E+04    0.90652E+00    0.17114E+02    0.29550E+07   -0.97055E+03
   223    0.57196E+04    0.93338E+00    0.18742E+02    0.29397E+07   -0.94629E+03
   224    0.57179E+04    0.96183E+00    0.20377E+02    0.29246E+07   -0.92242E+03
   225    0.57155E+04    0.99201E+00    0.22022E+02    0.29096E+07   -0.89893E+03
   226    0.57126E+04    0.10239E+01    0.23674E+02    0.28948E+07   -0.87583E+03
   227    0.57089E+04    0.10576E+01    0.25335E+02    0.28800E+07   -0.85311E+03
   228    0.57047E+04    0.10929E+01    0.27003E+02    0.28654E+07   -0.83079E+03
   229    0.56999E+04    0.11301E+01    0.28675E+02    0.28509E+07   -0.80885E+03
   230    0.56944E+04    0.11691E+01    0.30354E+02    0.28365E+07   -0.78729E+03
   231    0.56882E+04    0.12100E+01    0.32038E+02    0.28222E+07   -0.76613E+03
   232    0.56815E+04    0.12527E+01    0.33726E+02    0.28081E+07   -0.74535E+03
   233    0.56742E+04    0.12975E+01    0.35416E+02    0.27940E+07   -0.72497E+03
   234    0.56661E+04    0.13441E+01    0.37109E+02    0.27801E+07   -0.70497E+03
   235    0.56575E+04    0.13926E+01    0.38804E+02    0.27662E+07   -0.68537E+03
   236    0.56482E+04    0.14432E+01    0.40500E+02    0.27525E+07   -0.66616E+03
   237    0.56383E+04    0.14958E+01    0.42196E+02    0.27389E+07   -0.64733E+03
   238    0.56278E+04    0.15505E+01    0.43892E+02    0.27253E+07   -0.62891E+03
   239    0.56167E+04    0.16071E+01    0.45587E+02    0.27119E+07   -0.61087E+03
   240    0.56049E+04    0.16658E+01    0.47279E+02    0.26986E+07   -0.59323E+03
   241    0.55926E+04    0.17267E+01    0.48969E+02    0.26854E+07   -0.57598E+03
   242    0.55798E+04    0.17896E+01    0.50656E+02    0.26723E+07   -0.55912E+03
   243    0.55663E+04    0.18547E+01    0.52339E+02    0.26593E+07   -0.54266E+03
   244    0.55522E+04    0.19219E+01    0.54017E+02    0.26464E+07   -0.52660E+03
   245    0.55375E+04    0.19913E+01    0.55689E+02    0.26335E+07   -0.51093E+03
   246    0.55222E+04    0.20629E+01    0.57356E+02    0.26208E+07   -0.49566E+03
   247    0.55064E+04    0.21366E+01    0.59015E+02    0.26082E+07   -0.48078E+03
   248    0.54900E+04    0.22128E+01    0.60666E+02    0.25956E+07   -0.46630E+03
   249    0.54732E+04    0.22910E+01    0.62309E+02    0.25832E+07   -0.45222E+03
   250    0.54557E+04    0.23715E+01    0.63942E+02    0.25708E+07   -0.43854E+03
   251    0.54378E+04    0.24542E+01    0.65567E+02    0.25586E+07   -0.42526E+03
   252    0.54191E+04    0.25393E+01    0.67180E+02    0.25464E+07   -0.41237E+03
   253    0.54002E+04    0.26264E+01    0.68782E+02    0.25343E+07   -0.39986E+03
   254    0.53807E+04    0.27160E+01    0.70371E+02    0.25223E+07   -0.38773E+03
   255    0.53606E+04    0.28076E+01    0.71948E+02    0.25103E+07   -0.37598E+03
   256    0.53400E+04    0.29018E+01    0.73514E+02    0.24985E+07   -0.36458E+03
   257    0.53190E+04    0.29980E+01    0.75059E+02    0.24867E+07   -0.35355E+03
   258    0.52975E+04    0.30966E+01    0.76596E+02    0.24751E+07   -0.34286E+03
   259    0.52755E+04    0.31975E+01    0.78111E+02    0.24635E+07   -0.33251E+03
   260    0.52531E+04    0.33007E+01    0.79618E+02    0.24520E+07   -0.32251E+03
   261    0.52302E+04    0.34060E+01    0.81095E+02    0.24406E+07   -0.31283E+03
   262    0.52067E+04    0.35137E+01    0.82564E+02    0.24292E+07   -0.30347E+03
   263    0.51831E+04    0.36237E+01    0.84018E+02    0.24180E+07   -0.29442E+03
   264    0.51589E+04    0.37359E+01    0.85450E+02    0.24068E+07   -0.28569E+03
   265    0.51341E+04    0.38503E+01    0.86851E+02    0.23957E+07   -0.27725E+03
   266    0.51091E+04    0.39671E+01    0.88245E+02    0.23846E+07   -0.26911E+03
   267    0.50835E+04    0.40859E+01    0.89609E+02    0.23737E+07   -0.26125E+03
   268    0.50575E+04    0.42072E+01    0.90957E+02    0.23628E+07   -0.25368E+03
   269    0.50310E+04    0.43305E+01    0.92283E+02    0.23520E+07   -0.24637E+03
   270    0.50042E+04    0.44561E+01    0.93587E+02    0.23413E+07   -0.23933E+03
   271    0.49770E+04    0.45837E+01    0.94867E+02    0.23307E+07   -0.23255E+03
   272    0.49496E+04    0.47138E+01    0.96118E+02    0.23201E+07   -0.22602E+03
   273    0.49217E+04    0.48457E+01    0.97353E+02    0.23096E+07   -0.21974E+03
   274    0.48935E+04    0.49800E+01    0.98551E+02    0.22992E+07   -0.21369E+03
   275    0.48649E+04    0.51161E+01    0.99733E+02    0.22888E+07   -0.20787E+03
   276    0.48361E+04    0.52544E+01    0.10088E+03    0.22785E+07   -0.20228E+03
   277    0.48068E+04    0.53948E+01    0.10201E+03    0.22683E+07   -0.19690E+03
   278    0.47773E+04    0.55373E+01    0.10310E+03    0.22582E+07   -0.19173E+03
   279    0.47475E+04    0.56817E+01    0.10416E+03    0.22481E+07   -0.18676E+03
   280    0.47174E+04    0.58280E+01    0.10521E+03    0.22381E+07   -0.18199E+03
   281    0.46872E+04    0.59764E+01    0.10622E+03    0.22282E+07   -0.17740E+03
   282    0.46564E+04    0.61266E+01    0.10720E+03    0.22183E+07   -0.17300E+03
   283    0.46256E+04    0.62787E+01    0.10814E+03    0.22085E+07   -0.16877E+03
   284    0.45945E+04    0.64327E+01    0.10906E+03    0.21988E+07   -0.16471E+03
   285    0.45632E+04    0.65886E+01    0.10995E+03    0.21891E+07   -0.16080E+03
   286    0.45315E+04    0.67462E+01    0.11080E+03    0.21795E+07   -0.15705E+03
   287    0.44997E+04    0.69055E+01    0.11163E+03    0.21699E+07   -0.15344E+03
   288    0.44677E+04    0.70666E+01    0.11242E+03    0.21605E+07   -0.14998E+03
   289    0.44354E+04    0.72293E+01    0.11318E+03    0.21511E+07   -0.14664E+03
   290    0.44030E+04    0.73936E+01    0.11391E+03    0.21417E+07   -0.14343E+03
   291    0.43705E+04    0.75601E+01    0.11459E+03    0.21324E+07   -0.14034E+03
   292    0.43375E+04    0.77278E+01    0.11525E+03    0.21232E+07   -0.13735E+03
   293    0.43046E+04    0.78962E+01    0.11587E+03    0.21140E+07   -0.13447E+03
