#    L    TT             EE             BB             TE          
   306    0.38583E+04    0.10225E+02    0.36956E-01    0.11935E+03
   307    0.38245E+04    0.10408E+02    0.37128E-01    0.11944E+03
   308    0.37907E+04    0.10592E+02    0.37298E-01    0.11950E+03
   309    0.37570E+04    0.10776E+02    0.37468E-01    0.11952E+03
   310    0.37232E+04    0.10960E+02    0.37636E-01    0.11950E+03
   311    0.36895E+04    0.11146E+02    0.37804E-01    0.11944E+03
   312    0.36558E+04    0.11331E+02    0.37971E-01    0.11934E+03
   313    0.36222E+04    0.11517E+02    0.38137E-01    0.11921E+03
   314    0.35887E+04    0.11704E+02    0.38301E-01    0.11904E+03
   315    0.35552E+04    0.11890E+02    0.38465E-01    0.11883E+03
   316    0.35218E+04    0.12077E+02    0.38628E-01    0.11858E+03
   317    0.34885E+04    0.12262E+02    0.38790E-01    0.11829E+03
   318    0.34553E+04    0.12450E+02    0.38951E-01    0.11797E+03
   319    0.34222E+04    0.12636E+02    0.39111E-01    0.11761E+03
   320    0.33893E+04    0.12823E+02    0.39270E-01    0.11722E+03
   321    0.33565E+04    0.13010E+02    0.39428E-01    0.11678E+03
   322    0.33238E+04    0.13195E+02    0.39585E-01    0.11631E+03
   323    0.32913E+04    0.13381E+02    0.39742E-01    0.11580E+03
   324    0.32589E+04    0.13567E+02    0.39897E-01    0.11524E+03
   325    0.32267E+04    0.13750E+02    0.40051E-01    0.11466E+03
   326    0.31947E+04    0.13935E+02    0.40205E-01    0.11404E+03
   327    0.31628E+04    0.14119E+02    0.40357E-01    0.11338E+03
   328    0.31312E+04    0.14302E+02    0.40509E-01    0.11269E+03
   329    0.30998E+04    0.14484E+02    0.40660E-01    0.11195E+03
   330    0.30685E+04    0.14665E+02    0.40809E-01    0.11118E+03
   331    0.30376E+04    0.14845E+02    0.40959E-01    0.11038E+03
   332    0.30069E+04    0.15025E+02    0.41107E-01    0.10955E+03
   333    0.29763E+04    0.15203E+02    0.41254E-01    0.10869E+03
   334    0.29461E+04    0.15381E+02    0.41401E-01    0.10778E+03
   335    0.29160E+04    0.15556E+02    0.41546E-01    0.10684E+03
   336    0.28862E+04    0.15731E+02    0.41691E-01    0.10587E+03
   337    0.28567E+04    0.15905E+02    0.41836E-01    0.10485E+03
   338    0.28275E+04    0.16076E+02    0.41979E-01    0.10381E+03
   339    0.27986E+04    0.16248E+02    0.42122E-01    0.10274E+03
   340    0.27700E+04    0.16417E+02    0.42264E-01    0.10164E+03
   341    0.27415E+04    0.16584E+02    0.42405E-01    0.10050E+03
   342    0.27135E+04    0.16751E+02    0.42546E-01    0.99327E+02
   343    0.26858E+04    0.16915E+02    0.42686E-01    0.98126E+02
   344    0.26584E+04    0.17077E+02    0.42826E-01    0.96894E+02
   345    0.26313E+04    0.17237E+02    0.42965E-01    0.95633E+02
   346    0.26045E+04    0.17396E+02    0.43103E-01    0.94350E+02
   347    0.25780E+04    0.17553E+02    0.43241E-01    0.93030E+02
   348    0.25520E+04    0.17707E+02    0.43378E-01    0.91680E+02
   349    0.25262E+04    0.17859E+02    0.43515E-01    0.90300E+02
   350    0.25008E+04    0.18009E+02    0.43652E-01    0.88898E+02
   351    0.24759E+04    0.18156E+02    0.43788E-01    0.87466E+02
   352    0.24512E+04    0.18302E+02    0.43923E-01    0.86005E+02
   353    0.24269E+04    0.18445E+02    0.44058E-01    0.84529E+02
   354    0.24029E+04    0.18585E+02    0.44193E-01    0.83016E+02
   355    0.23794E+04    0.18723E+02    0.44328E-01    0.81480E+02
   356    0.23562E+04    0.18859E+02    0.44462E-01    0.79930E+02
   357    0.23334E+04    0.18992E+02    0.44596E-01    0.78350E+02
   358    0.23111E+04    0.19121E+02    0.44730E-01    0.76756E+02
   359    0.22891E+04    0.19248E+02    0.44864E-01    0.75132E+02
   360    0.22675E+04    0.19373E+02    0.44997E-01    0.73489E+02
   361    0.22463E+04    0.19494E+02    0.45131E-01    0.71824E+02
   362    0.22255E+04    0.19613E+02    0.45264E-01    0.70139E+02
   363    0.22051E+04    0.19729E+02    0.45397E-01    0.68437E+02
   364    0.21852E+04    0.19841E+02    0.45530E-01    0.66713E+02
   365    0.21656E+04    0.19951E+02    0.45663E-01    0.64973E+02
   366    0.21465E+04    0.20057E+02    0.45796E-01    0.63216E+02
   367    0.21279E+04    0.20159E+02    0.45929E-01    0.61442E+02
   368    0.21095E+04    0.20259E+02    0.46062E-01    0.59654E+02
